

--------------------------------------- 2019-07-03-22-37-23-773
[notice ] Rendering ID: 0; Current draw angle: 26; Full rotations count: 0; Time between renderings: 0
[notice ] Rendering ID: 1; Current draw angle: 52; Full rotations count: 0; Time between renderings: 1124
[notice ] Rendering ID: 2; Current draw angle: 78; Full rotations count: 0; Time between renderings: 80
[notice ] Rendering ID: 3; Current draw angle: 104; Full rotations count: 0; Time between renderings: 93
[notice ] Rendering ID: 4; Current draw angle: 130; Full rotations count: 0; Time between renderings: 80
[notice ] Rendering ID: 5; Current draw angle: 156; Full rotations count: 0; Time between renderings: 73
[notice ] Rendering ID: 6; Current draw angle: 182; Full rotations count: 0; Time between renderings: 103
[notice ] Rendering ID: 7; Current draw angle: 208; Full rotations count: 0; Time between renderings: 77
[notice ] Rendering ID: 8; Current draw angle: 234; Full rotations count: 0; Time between renderings: 127
[notice ] Rendering ID: 9; Current draw angle: 260; Full rotations count: 0; Time between renderings: 81
[notice ] Rendering ID: 10; Current draw angle: 286; Full rotations count: 0; Time between renderings: 70
[notice ] Rendering ID: 11; Current draw angle: 312; Full rotations count: 0; Time between renderings: 80
[notice ] Rendering ID: 12; Current draw angle: 338; Full rotations count: 0; Time between renderings: 117
[notice ] Rendering ID: 13; Current draw angle: 4; Full rotations count: 1; Time between renderings: 169
[notice ] Rendering ID: 14; Current draw angle: 30; Full rotations count: 1; Time between renderings: 94
[notice ] Rendering ID: 15; Current draw angle: 56; Full rotations count: 1; Time between renderings: 264
[notice ] Rendering ID: 16; Current draw angle: 82; Full rotations count: 1; Time between renderings: 137
[notice ] Rendering ID: 17; Current draw angle: 108; Full rotations count: 1; Time between renderings: 83
[notice ] Rendering ID: 18; Current draw angle: 134; Full rotations count: 1; Time between renderings: 81
[notice ] Rendering ID: 19; Current draw angle: 160; Full rotations count: 1; Time between renderings: 77
[notice ] Rendering ID: 20; Current draw angle: 186; Full rotations count: 1; Time between renderings: 72
[notice ] Rendering ID: 21; Current draw angle: 212; Full rotations count: 1; Time between renderings: 76
[notice ] Rendering ID: 22; Current draw angle: 238; Full rotations count: 1; Time between renderings: 65
[notice ] Rendering ID: 23; Current draw angle: 264; Full rotations count: 1; Time between renderings: 84
[notice ] Rendering ID: 24; Current draw angle: 290; Full rotations count: 1; Time between renderings: 80
[notice ] Rendering ID: 25; Current draw angle: 316; Full rotations count: 1; Time between renderings: 68
[notice ] Rendering ID: 26; Current draw angle: 342; Full rotations count: 1; Time between renderings: 80
[notice ] Rendering ID: 27; Current draw angle: 8; Full rotations count: 2; Time between renderings: 72
[notice ] Rendering ID: 28; Current draw angle: 34; Full rotations count: 2; Time between renderings: 92
[notice ] Rendering ID: 29; Current draw angle: 60; Full rotations count: 2; Time between renderings: 216
[notice ] Rendering ID: 30; Current draw angle: 86; Full rotations count: 2; Time between renderings: 77
[notice ] Rendering ID: 31; Current draw angle: 112; Full rotations count: 2; Time between renderings: 59
[notice ] Rendering ID: 32; Current draw angle: 138; Full rotations count: 2; Time between renderings: 84
[notice ] Rendering ID: 33; Current draw angle: 164; Full rotations count: 2; Time between renderings: 74
[notice ] Rendering ID: 34; Current draw angle: 190; Full rotations count: 2; Time between renderings: 87
[notice ] Rendering ID: 35; Current draw angle: 216; Full rotations count: 2; Time between renderings: 162
[notice ] Rendering ID: 36; Current draw angle: 242; Full rotations count: 2; Time between renderings: 106
[notice ] Rendering ID: 37; Current draw angle: 268; Full rotations count: 2; Time between renderings: 77
[notice ] Rendering ID: 38; Current draw angle: 294; Full rotations count: 2; Time between renderings: 108
[notice ] Rendering ID: 39; Current draw angle: 320; Full rotations count: 2; Time between renderings: 105
[notice ] Rendering ID: 40; Current draw angle: 346; Full rotations count: 2; Time between renderings: 82
[notice ] Rendering ID: 41; Current draw angle: 12; Full rotations count: 3; Time between renderings: 106
[notice ] Rendering ID: 42; Current draw angle: 38; Full rotations count: 3; Time between renderings: 95
[notice ] Rendering ID: 43; Current draw angle: 64; Full rotations count: 3; Time between renderings: 120
[notice ] Rendering ID: 44; Current draw angle: 90; Full rotations count: 3; Time between renderings: 89
[notice ] Rendering ID: 45; Current draw angle: 116; Full rotations count: 3; Time between renderings: 99
[notice ] Rendering ID: 46; Current draw angle: 142; Full rotations count: 3; Time between renderings: 78
